Site_ID,geeSEBAL,PT-JPL,SSEBop,SIMS,eeMETRIC,DisALEXI,Ensemble,DATE
US-Blk,16.2,12.1,20.7,,9.2,12.5,14.2,2/1/2004
US-Blk,6.2,3.7,35.7,,10.9,13.1,8.5,12/1/2004
US-Blk,10,6.2,19,,4.9,15.8,11.2,1/1/2005
US-Blk,11.8,15.1,26.8,,9.5,26.4,17.9,2/1/2005
US-Blk,40,29.5,41.5,,22,55.2,37.7,3/1/2005
US-Blk,57,55.8,51.2,,28.7,86.5,48.2,4/1/2005
US-Blk,18.3,26.5,43.5,,28.2,20.6,27.4,11/1/2005
US-Blk,4.4,11.5,43.7,,10.1,17.9,11,1/1/2006
US-Blk,13,9,44.3,,12.9,35.6,17.6,2/1/2006
US-Blk,67.3,58.8,55.5,,35.7,79.2,59.3,4/1/2006
US-Blk,121.1,117.7,175.5,,132.8,109.8,120.3,7/1/2006
US-Blk,75.9,93.5,124,,61,70.8,75.3,8/1/2006
US-Blk,51,49.2,69.2,,48.9,62,52.8,9/1/2006
US-Blk,15.1,35.9,33.6,,8.4,28.3,24.2,10/1/2006
US-Blk,4,17.3,34.4,,10.2,17.3,16.6,11/1/2006
US-Blk,3.1,8.2,25.9,,3.8,7.8,5.7,12/1/2006
US-Blk,24.6,41,53.3,,20.1,48.9,37.6,3/1/2007
US-Blk,86.7,86.6,84.1,,48.3,52.8,77.5,9/1/2007
US-Blk,43,51.6,57.3,,37.6,37.8,45.5,10/1/2007
US-Blk,13,8.1,49.9,,55.3,31.6,31.6,11/1/2007
US-Blk,1.7,1.4,8.5,,11.3,4.6,5.5,12/1/2007
US-Blk,52,26.2,29,,23.5,55.8,32.7,3/1/2008
US-Blo,65.6,77.3,68.7,,59.5,84.9,71.2,3/1/2004
US-Blo,152.7,125.2,119.6,,107.3,130.9,120.8,6/1/2004
US-Blo,143.9,126.5,156.9,,117.7,136.1,136.2,7/1/2004
US-Blo,106.9,109.7,145.5,,99.8,104.2,105.1,8/1/2004
US-Blo,90.6,91.9,109.5,,63.7,68,84.7,9/1/2004
US-Blo,24.1,21.4,27.2,,16.9,47.3,22.4,2/1/2005
US-Blo,143.9,131.6,177.3,,150.8,135.2,140.4,8/1/2005
US-Blo,147.3,137.9,111.2,,146.4,150.2,145.5,5/1/2006
US-Blo,147.4,120.5,155.8,,147.1,159.3,152.4,6/1/2006
US-Blo,186.1,154.4,203.3,,173.9,153.7,174.3,7/1/2006
US-Blo,145.7,133,169.3,,143.1,140.6,140.6,8/1/2006
US-Blo,99.3,99.4,137.6,,93.2,97.4,97.3,9/1/2006
US-Blo,61.4,80.5,72.8,,74.9,63.7,70.6,10/1/2006
US-Blo,102.1,77.8,91.5,,99.5,114.3,97,3/1/2007
US-Blo,137.2,112.9,95.1,,130.2,131.8,128,4/1/2007
US-Blo,187.7,145.9,128.7,,138.5,163.1,152.8,5/1/2007
US-Blo,95.7,102.5,93.8,,98.4,94.6,95.6,9/1/2007
US-CZ3,159.3,142.3,167.3,,175.5,170.3,168.1,7/1/2009
US-CZ3,119,129,145,,111.2,150.9,131,8/1/2009
US-CZ3,114.5,106.3,119.8,,122.2,122.8,119.8,9/1/2009
US-CZ3,187.8,145.4,161.1,,169.7,199.7,172.7,6/1/2010
US-CZ3,153.8,133.2,150.3,,159.2,144.5,148.2,8/1/2011
US-CZ3,124.3,110.2,109.6,,116.5,107.4,110.9,9/1/2011
US-CZ3,192.3,145.2,124.6,,138.4,162.9,152.7,6/1/2012
US-Fmf,53,69.9,83.9,,65.6,80.2,70.5,9/1/2005
US-Fmf,59.4,70.3,57.8,,60.3,67.5,61.3,10/1/2005
US-Fmf,41.9,21.9,53.2,,30.4,37.7,37,1/1/2006
US-Fmf,40,24.6,49.7,,61.7,57.4,46.7,2/1/2006
US-Fmf,18.8,35.2,44.3,,70.6,64,46.6,3/1/2006
US-Fmf,76.4,70.9,62.6,,88.5,108.2,81.3,4/1/2006
US-Fmf,122,83.1,62,,100.5,115,96.5,7/1/2006
US-Fmf,59.5,50.1,41.3,,48.3,51.6,47.8,10/1/2006
US-Fmf,73.6,44.6,60,,60.5,72.4,62.2,3/1/2007
US-Fmf,54.2,54.6,56.3,,68.6,53.7,54.7,4/1/2007
US-Fmf,33.3,61.6,37.3,,63.2,40.5,43.2,5/1/2007
US-Fmf,71.4,61.1,39.5,,66.7,70.6,67.4,8/1/2007
US-Fmf,72.6,66.6,42.8,,56.3,56.4,58.9,9/1/2007
US-Fmf,50,63.7,41.6,,46.1,47.9,46.4,10/1/2007
US-Fmf,60.2,50.5,29.5,,84.1,51,47.8,4/1/2008
US-Fmf,54.7,49.1,32,,70.7,51.8,56.6,5/1/2008
US-Fmf,44.5,69.6,53,,82.3,58.1,61.5,6/1/2008
US-Fmf,71.2,92.2,64.9,,65.7,94.4,73.5,7/1/2008
US-Fmf,46.2,79.3,54.1,,62,77.5,63.8,8/1/2008
US-Fmf,62.7,71.2,49.6,,51.2,59.8,58.9,9/1/2008
US-Fmf,27.5,45.2,44.6,,34.3,26.3,35.6,10/1/2008
US-Fmf,28.8,38.2,32.3,,19.6,28.5,29.5,11/1/2008
US-Fmf,2.2,3,3.3,,0,5,3.4,1/1/2009
US-Fmf,34,20.3,37.9,,30.5,45.4,37,2/1/2009
US-Fmf,79.7,55.6,49.6,,80.7,68.8,66.9,4/1/2009
US-Fmf,29.2,67.6,50.1,,75.7,51,54.7,5/1/2009
US-Fmf,53.1,79.3,58.4,,51.2,63.8,56.6,6/1/2009
US-Fmf,39.5,69.8,49.7,,40.3,35,41.1,10/1/2009
US-Fmf,18.8,28.7,28.2,,9.9,21.7,21.4,11/1/2009
US-Fmf,10.8,9.9,10.6,,0.6,14.8,11.5,12/1/2009
US-Fmf,89.7,21.7,59.3,,7.1,56.5,46.9,3/1/2010
US-Fmf,44.4,39.2,51.3,,32,40.7,41.5,4/1/2010
US-Fmf,17.8,68.3,51.7,,54.7,54,57.2,5/1/2010
US-Fmf,0.4,77.7,67.4,,57,47.4,62.4,6/1/2010
US-Fmf,67.7,71.2,69.6,,98.6,102.6,76.8,8/1/2010
US-Fmf,89.2,86.8,59.9,,77.9,70.7,76.9,9/1/2010
US-Fmf,52,64.6,43.5,,41.9,55.3,51.5,10/1/2010
US-Fmf,24,29.7,37.7,,27.1,40.1,31.7,11/1/2010
US-Fuf,70.9,70.3,61.5,,60.1,73.5,69.1,10/1/2005
US-Fuf,32.5,38.8,59.3,,53.6,48,46.4,11/1/2005
US-Fuf,34.7,23.1,46.7,,28.1,35.1,33.5,12/1/2005
US-Fuf,43.1,22.6,59.2,,21.2,40.3,37.3,1/1/2006
US-Fuf,45.8,27,60.4,,63.4,61.6,57.8,2/1/2006
US-Fuf,37.1,37.4,54.2,,84.2,79.1,58.4,3/1/2006
US-Fuf,110.8,75.5,72.4,,105.9,114,101.6,4/1/2006
US-Fuf,163.6,105.9,89.7,,122.9,124.4,121.3,5/1/2006
US-Fuf,137.5,104.8,78.5,,112.8,125.4,111.8,8/1/2006
US-Fuf,70.7,57.1,61.9,,71.4,73.2,69.3,10/1/2006
US-Fuf,28.9,37,51.5,,41.6,44.3,40.6,11/1/2006
US-Fuf,12.3,13.9,24.3,,17,24.7,18.5,1/1/2007
US-Fuf,32.7,23,43.1,,12,49.9,32.1,2/1/2007
US-Fuf,68.4,54,74.4,,40.1,100,67.4,3/1/2007
US-Fuf,68.5,71.8,81.8,,66.1,114.7,72,4/1/2007
US-Fuf,121.1,108,98.1,,102.9,129,111.8,5/1/2007
US-Fuf,114.1,98.9,117.3,,131.3,116,119.7,6/1/2007
US-Fuf,121.7,93,98.7,,110.6,130.4,110.9,8/1/2007
US-Fuf,93.2,78.2,92,,91.9,113.7,88.8,9/1/2007
US-Fuf,81.3,78,82.4,,84.1,84.2,82,10/1/2007
US-Fuf,36.3,50.3,54.7,,21.9,43.1,41.3,11/1/2007
US-Fuf,10.2,18.6,34.3,,4.7,29.4,19.4,12/1/2007
US-Fuf,19.8,8.7,19.2,,44.7,17.9,16.4,2/1/2008
US-Fuf,120.9,92.1,86.2,,106,133.4,107.7,5/1/2008
US-Fuf,124.5,114.8,118.8,,114.4,133.7,118.1,6/1/2008
US-Fuf,119.8,105.6,94.5,,125,119.7,117.5,8/1/2008
US-Fuf,99.9,93.2,88.2,,85.2,96.3,92.5,9/1/2008
US-Fuf,58.7,58,80.2,,75,69,68.2,10/1/2008
US-Fuf,102.6,54.6,93,,81.5,104,95.3,3/1/2009
US-Fuf,135.5,64.8,86.4,,114.7,119,104.1,4/1/2009
US-Fuf,111.8,106.3,102.1,,121.1,126.2,113.5,5/1/2009
US-Fuf,130.2,116,107.1,,110,134.1,119.5,6/1/2009
US-Fuf,108.7,125,123.7,,121.7,128.7,124.7,7/1/2009
US-Fuf,114.4,100.4,115.1,,114.8,107.6,113,8/1/2009
US-Fuf,82.5,81.7,74.3,,45.3,57.5,74,10/1/2009
US-Fuf,34.8,36.7,46.3,,23.7,38.2,39,11/1/2009
US-Fuf,14.4,12.5,16.7,,9.4,22.7,13.2,12/1/2009
US-Fuf,140,68.7,100,,100.7,114.7,104.8,4/1/2010
US-Fuf,97.8,102.1,96.7,,111.6,123.8,102,5/1/2010
US-Fuf,81,104.2,127.6,,130.1,115.3,111.6,6/1/2010
US-Fuf,96.3,106.8,114.1,,136.2,126.9,116.1,7/1/2010
US-Fuf,112.4,92.8,105.7,,135.2,137.8,116.8,8/1/2010
US-Fuf,119.3,104.9,108.8,,104.6,99,104.4,9/1/2010
US-Fuf,72,74.4,57.4,,65.1,69.5,67.7,10/1/2010
US-Fuf,37.4,33.2,54.8,,46.8,47.8,44,11/1/2010
US-GLE,170.7,108.9,174.2,,154,181.8,170.2,6/1/2001
US-GLE,34.5,37.7,49.7,,46.1,55,44.6,10/1/2004
US-GLE,13.4,13.2,25.2,,20.7,15.9,15.8,11/1/2004
US-GLE,13.7,5,33.3,,33.6,24.2,22,12/1/2004
US-GLE,62.6,40.7,60.3,,93.4,68.6,58.1,5/1/2005
US-GLE,160.5,107.3,150.2,,131.3,174.6,144.8,6/1/2005
US-GLE,136.6,109.6,153.4,,182.7,149,155.4,7/1/2005
US-GLE,83.2,78.4,119,,132.5,115.3,105.7,8/1/2005
US-GLE,87.9,66.1,102.9,,127.5,66.1,90.1,9/1/2005
US-GLE,57.6,43.1,59.5,,78.9,36.2,55.1,10/1/2005
US-GLE,47.3,35.6,48.1,,37.6,33.9,40.5,11/1/2005
US-GLE,8.9,2.9,9.9,,55.7,2.8,6.1,4/1/2006
US-GLE,106.4,61.4,99.6,,84.7,103.2,98.5,5/1/2006
US-GLE,184.8,120.4,177.4,,162.8,178.2,175.8,6/1/2006
US-GLE,156.2,118.6,137.1,,191.2,142.8,138.7,7/1/2006
US-GLE,111.6,113.4,111.8,,138.4,121.3,114.5,8/1/2006
US-GLE,74.8,53.4,91.8,,103.2,84,88.5,9/1/2006
US-GLE,53,39.9,60.6,,59.5,62.7,59,10/1/2006
US-GLE,24.4,18.8,48.4,,32,26.1,25.3,11/1/2006
US-GLE,19.5,3.3,40,,18.5,15.7,14.2,12/1/2006
US-GLE,20.8,8.6,20.6,,28.6,18.8,22.2,4/1/2007
US-GLE,115.2,66.5,104,,63.3,103.7,97.4,5/1/2007
US-GLE,189.1,129.9,150.9,,149,161.9,148,6/1/2007
US-GLE,155.6,124.1,137.5,,172.5,178.2,153.6,7/1/2007
US-GLE,117.8,112.2,120.1,,173.6,126.9,119.2,8/1/2007
US-GLE,76.8,68.5,82.9,,117.3,91.9,80,9/1/2007
US-GLE,19.9,13.8,52.8,,15.6,18.3,16.9,10/1/2007
US-GLE,18,14.6,86.6,,27.3,50.1,27.5,11/1/2007
US-GLE,4.2,4.5,24.2,,0.3,14.9,6,12/1/2007
US-GLE,22.4,13.1,23.8,,78.6,21.3,20.2,5/1/2008
US-GLE,168.2,104.7,171.4,,139.9,196.1,156,6/1/2008
US-GLE,149.6,126.8,142.8,,169,160.2,149.7,7/1/2008
US-GLE,138.6,122.1,125.9,,154.1,119.4,126.5,8/1/2008
US-GLE,76,64.5,81.6,,102,76.2,74.6,9/1/2008
US-GLE,53.7,41.5,73.5,,65.4,68.1,60.5,10/1/2008
US-GLE,26.2,12.2,55.7,,13.3,38.8,29.2,11/1/2008
US-GLE,75.2,41.6,65.8,,46.6,51.8,56.2,5/1/2009
US-GLE,70,61.6,68.3,,89.5,80,73.9,6/1/2009
US-GLE,119.3,109,130.7,,150.6,132.1,128.4,7/1/2009
US-GLE,112.1,93.1,126.6,,135.3,121.2,123.8,8/1/2009
US-GLE,82,73.5,82.9,,84.4,57.6,80.7,9/1/2009
US-GLE,22.5,19.7,24.1,,31.5,15.9,20.6,10/1/2009
US-GLE,57.5,22.3,56,,59.6,65.5,59.7,5/1/2010
US-GLE,166.2,73,157,,143.9,160.3,156.8,6/1/2010
US-GLE,149.7,116.6,141.6,,173.9,117,139.7,7/1/2010
US-GLE,144.7,113.1,114.1,,141.4,111.4,120,8/1/2010
US-GLE,91.7,69.5,109,,163.5,77.7,87,9/1/2010
US-GLE,61.1,44.8,71.3,,87.7,63.7,60.2,10/1/2010
US-GLE,23.3,19.6,34.9,,18.9,28.6,25.1,11/1/2010
US-GLE,2.7,2.5,9.5,,3,5,3.3,12/1/2010
US-GLE,8.9,3.8,9.4,,65.1,6.9,7.3,5/1/2011
US-GLE,63.1,48.3,67.8,,107.4,67.5,61.7,6/1/2011
US-GLE,164.4,122.6,150.9,,173.4,159.1,162,7/1/2011
US-GLE,122.6,102.7,142.9,,165.2,138.5,134.4,8/1/2011
US-GLE,84.4,72,94.8,,122.6,88.3,84.9,9/1/2011
US-GLE,75.5,67.8,52.5,,57.4,56.1,58.4,10/1/2011
US-GLE,9.5,7.3,7.9,,19.2,7.6,8.1,11/1/2011
US-GLE,78.3,25.6,80.6,,48.4,55.1,57.6,4/1/2012
US-GLE,86.2,56.1,91.1,,94.4,98.9,92.6,5/1/2012
US-GLE,132.7,98.5,143.4,,160.9,127.2,141,6/1/2012
US-GLE,152.3,111.7,135.4,,150.1,157.5,148.9,7/1/2012
US-GLE,127.1,92.5,120.8,,146.9,122,129.2,8/1/2012
US-GLE,105.4,71.7,91.1,,118.1,47.6,86.8,9/1/2012
US-GLE,46.1,36.8,84.7,,71.5,35.3,47.4,10/1/2012
US-GLE,26.8,15.5,45.2,,31.3,17.1,27.2,11/1/2012
US-GLE,17.3,2.7,27.2,,15.1,10.3,14.5,12/1/2012
US-GLE,67.5,32.4,60.8,,53.7,68.1,62.5,5/1/2013
US-GLE,166.3,101.4,136.4,,135.4,138,144,6/1/2013
US-GLE,157.7,118.1,137.8,,180.3,140.7,146.9,7/1/2013
US-GLE,139.8,99.5,102.7,,149.8,124.9,123.3,8/1/2013
US-GLE,76.6,61.3,67.8,,109.9,67,68.2,9/1/2013
US-GLE,49.4,33.7,17.4,,41.2,25.6,33.5,10/1/2013
US-GLE,5.4,4.1,5.9,,15,2.3,4.4,11/1/2013
US-GLE,46.2,22.3,44.1,,56.7,50,49.3,5/1/2014
US-GLE,179.6,91.8,165.9,,50.8,151.6,147.2,6/1/2014
US-GLE,110.1,112.2,143,,102.8,160.7,117,7/1/2014
US-GLE,115.5,90.4,104.3,,117.5,124,115.3,8/1/2014
US-GLE,95.2,79.5,83.1,,105.1,77.3,83.8,9/1/2014
US-GLE,60.4,53.7,59.1,,88.4,50.7,56,10/1/2014
US-GLE,27.4,22.5,23.9,,24.8,23.3,23.6,11/1/2014
US-GLE,7,3.2,26,,10.8,1.3,5.6,12/1/2014
US-GLE,33.4,24.9,44.2,,22.9,49.6,35,5/1/2015
US-GLE,127.5,98,142.7,,138.2,146.7,138.8,6/1/2015
US-GLE,145.5,108.8,139.6,,154.9,142.2,145.6,7/1/2015
US-GLE,98.5,91.3,133.3,,133.3,111.9,113.7,8/1/2015
US-GLE,78.6,67.6,90,,93.1,77.8,81.4,9/1/2015
US-GLE,44.9,43.6,52.8,,50,44.7,45.8,10/1/2015
US-GLE,16.6,16.5,22,,17.7,18.5,17.3,11/1/2015
US-GLE,54.9,37.2,49.4,,54.1,58.4,54.2,5/1/2016
US-GLE,170.5,117.5,151.4,,136.9,142,137,6/1/2016
US-GLE,146.6,118.6,152.1,,171.7,118.1,141.4,7/1/2016
US-GLE,126.7,104.9,116.2,,147,101.6,119.3,8/1/2016
US-GLE,79.3,74.6,84.3,,96.5,48.5,83.6,9/1/2016
US-GLE,58.8,47.4,70.1,,77,42.3,59.1,10/1/2016
US-GLE,17.8,24.2,42.7,,42.2,31.6,31.7,11/1/2016
US-GLE,2.8,4.5,7.7,,10.2,11.5,7.3,12/1/2016
US-GLE,58,36.5,52.2,,58.7,74.7,60.9,5/1/2017
US-GLE,186.2,128.3,150.5,,123.8,154.2,148.6,6/1/2017
US-GLE,135.6,110.3,123.5,,141.9,139.6,135.1,7/1/2017
US-GLE,109.8,90.4,116.4,,121.5,133.4,120.3,8/1/2017
US-GLE,45.1,53.1,70.6,,40.5,79.2,57.7,9/1/2017
US-GLE,41.5,26.5,33.4,,14,50.3,33.1,10/1/2017
US-GLE,17.3,10.1,17.7,,20.2,11.6,15.4,11/1/2017
US-Me2,66.7,53.2,38.8,,40.8,77.8,55.5,3/1/2002
US-Me2,111.2,95.9,58,,66.1,93,84.8,4/1/2002
US-Me2,148,120.5,71.2,,82.4,106.9,105.8,5/1/2002
US-Me2,137.8,119,88.7,,66.9,120.4,106.6,6/1/2002
US-Me2,156.2,134.8,123.3,,87.4,141.6,139,7/1/2002
US-Me2,131.3,114.7,103.4,,57.8,95.9,111.3,8/1/2002
US-Me2,79.1,81.2,73.2,,30.5,64.2,74.5,9/1/2002
US-Me2,44.8,52.3,43.4,,15.4,46.6,46.8,10/1/2002
US-Me2,183.3,159.5,126.7,,83.1,130.7,136.7,7/1/2004
US-Me2,93.3,90,63.3,,49.3,55.6,70.3,9/1/2004
US-Me2,174,131.3,131.6,,67,127.4,141.1,7/1/2005
US-Me2,141.6,113.1,127.1,,73.2,124.8,126.6,8/1/2005
US-Me2,79.1,77.3,75,,33.6,58.6,72.5,9/1/2005
US-Me2,167.1,135.6,149.7,,90.5,145.4,149.5,7/1/2006
US-Me2,67.5,81,76,,28.3,58.6,70.8,9/1/2006
US-Me2,140.3,121.2,102.4,,67.7,122.4,110.8,6/1/2007
US-Me2,162.4,116.3,115.9,,78.2,119.1,107.4,6/1/2008
US-Me2,181,167,135.7,,86.7,138.9,141.8,7/1/2008
US-Me2,28.3,24.6,20.9,,21.3,21.2,22,3/1/2009
US-Me2,131.5,119.5,91.8,,56.6,117.3,115,5/1/2009
US-Me2,159.9,140.6,106.2,,84.7,120.2,122.3,6/1/2009
US-Me2,154.9,129.6,140.6,,98.6,146.8,143,7/1/2009
US-Me2,128.7,113.1,112.6,,94.5,101.2,110,8/1/2009
US-Me2,105.5,103.5,99.7,,60.6,122.6,107.8,6/1/2010
US-Me2,179.3,145.7,153.5,,88,168.9,161.8,7/1/2010
US-Me2,151,118.4,139.2,,115.1,119.3,123,8/1/2010
US-Me2,91.8,92.6,71.1,,52.2,61.8,73.9,9/1/2010
US-Me2,85,62.3,51.1,,53.7,65.2,63.5,4/1/2011
US-Me2,156.8,145.9,105,,75.8,166.8,143.6,6/1/2011
US-Me2,165.1,147.7,129.3,,85.5,146.7,147.2,7/1/2011
US-Me2,140.8,133.9,129.5,,84.9,124.7,132.2,8/1/2011
US-Me2,91.2,96.7,112.2,,57.3,125.2,96.5,9/1/2011
US-Me2,121.4,93.7,103.1,,52.1,118.5,109.2,5/1/2012
US-Me2,140.9,114.2,101.2,,112.5,95.2,112.8,6/1/2012
US-Me2,179.3,162,141.4,,92.5,118.5,138.8,7/1/2012
US-Me2,159.2,143.8,134.1,,82.9,102.1,124.4,8/1/2012
US-Me2,99,82.1,129.6,,58.3,92.1,82.9,9/1/2012
US-Me2,40.5,44.5,62.6,,30.1,22.4,40,10/1/2012
US-Me2,14.1,13.1,11.7,,1,3.4,10.6,2/1/2013
US-Me2,92.3,80.4,65.8,,67.8,76.6,76.6,4/1/2013
US-Me2,165.9,147.7,104.8,,81.7,103,120.6,5/1/2013
US-Me2,162.6,145,174.8,,93.2,149.1,157.9,7/1/2013
US-Me2,131.8,118.1,119,,72.1,82.9,113,8/1/2013
US-Me2,60.7,67.9,58.8,,27.8,26.8,53.8,9/1/2013
US-Me2,38.2,52.4,44.6,,30.3,30.4,39.2,10/1/2013
US-Me2,12.5,16.1,18.7,,2.7,13.2,15.1,12/1/2013
US-Me2,162.7,144.3,100.1,,94.7,130.6,126.5,5/1/2014
US-Me2,172.3,146.1,116.4,,91.4,127.4,130.7,6/1/2014
US-Me2,164.8,144.7,153.7,,105.6,153.8,154.2,7/1/2014
US-Me2,159.2,131.4,122.6,,97.7,104.9,123.2,8/1/2014
US-Me2,97.3,103.8,98.1,,71.7,57.6,92.7,9/1/2014
US-Me2,87.4,70,76.7,,46.3,95.3,75.1,4/1/2015
US-Me2,124.7,104.4,101.9,,74.1,108.7,109.9,5/1/2015
US-Me2,161.3,134.1,134.8,,90.6,117.6,127.7,6/1/2015
US-Me2,155.4,123.3,159.3,,114,140.1,138.4,7/1/2015
US-Me2,104.6,102.2,133.2,,94.7,96.2,99.4,8/1/2015
US-Me2,79.9,76.9,85.2,,48.5,60.7,75.7,9/1/2015
US-Me2,47.9,62.4,58.5,,32.9,37.4,47.8,10/1/2015
US-Me2,9.2,20.1,22.5,,7.9,16.7,15.3,11/1/2015
US-Me2,20.9,14,19,,7.1,4.7,13.1,12/1/2015
US-Me2,27.9,23.1,34.8,,12.7,45.2,28.7,2/1/2016
US-Me2,56.8,44.1,50,,56.4,81.3,51.8,3/1/2016
US-Me2,115.7,97.8,89.9,,95.9,146.9,99.8,4/1/2016
US-Me2,154.1,134,110.3,,77.1,104.6,116,5/1/2016
US-Me2,158.3,134.8,128.7,,83.5,128.8,137.6,6/1/2016
US-Me2,162.8,142.2,138.1,,102,104.5,129.9,7/1/2016
US-Me2,128.2,110.3,143.8,,101.3,97.4,116.2,8/1/2016
US-Me2,78.6,86.3,87.4,,69.3,72.3,78.8,9/1/2016
US-Me2,31,40.9,37,,35.8,26,34.1,10/1/2016
US-Me2,16.2,36.5,31.2,,23.3,22.5,26,11/1/2016
US-Me2,68,40.9,44.7,,51.4,42.2,44.8,3/1/2017
US-Me2,90.1,61,61.1,,63.8,69,63.7,4/1/2017
US-Me2,139.5,131.9,102.4,,70.8,116.5,122.6,5/1/2017
US-Me2,145.7,125.3,121.6,,73.6,97.3,112.7,6/1/2017
US-Me2,167.9,147.2,150,,105.2,147.9,153.3,7/1/2017
US-Me2,151.1,138.8,137.4,,88.2,101.1,132.1,8/1/2017
US-Me2,93.1,92.3,83,,73,70.2,82.3,9/1/2017
US-Me2,46.7,65.6,48.6,,63.3,41.3,53.1,10/1/2017
US-Me2,14.1,24,27.1,,32.8,11.5,21.9,11/1/2017
US-Me2,7.9,15.3,23.8,,29,11.4,17.5,12/1/2017
US-Me2,13.6,22.9,21.8,,35,13.7,21.4,1/1/2018
US-Me2,30,28.8,18,,19,27.9,26.4,3/1/2018
US-Me2,108,98.7,65.6,,55.5,82.7,82.1,4/1/2018
US-Me2,173.7,144,105.2,,95.8,116.1,127,5/1/2018
US-Me2,141.7,131.2,124.7,,105,121.9,129.8,6/1/2018
US-Me2,188.4,163.7,159,,124.5,127.9,152.7,7/1/2018
US-Me2,162.2,137.2,134.6,,90.1,112.7,127.4,8/1/2018
US-Me2,101.8,92.2,82.2,,42.1,75.1,87.8,9/1/2018
US-Me2,41.3,46.6,52.9,,48.5,30.1,47.3,10/1/2018
US-Me2,20.3,41,30.1,,27,19.6,27.6,11/1/2018
US-Me2,90.2,72.6,58.2,,36.6,63.3,64.2,4/1/2019
US-Me2,136.5,112.1,93.3,,85.6,108.7,107.3,5/1/2019
US-Me2,169.3,138.5,128.2,,87.6,158.2,136.3,6/1/2019
US-Me2,170.7,140.4,135,,109.8,139.2,131.1,7/1/2019
US-Me2,155.1,129.2,130.8,,109.9,118.4,128.7,8/1/2019
US-Me2,76.8,71.8,80.2,,55.8,65.6,70,9/1/2019
US-Me2,25.4,58.5,48.3,,11.4,37.4,36.2,10/1/2019
US-Me2,11.1,38.8,28.8,,5.6,27.5,22.3,11/1/2019
US-Me2,4.9,10.8,17.6,,8.7,8.7,8.3,1/1/2020
US-Me2,34.9,32.4,40,,15.9,37.8,36.3,2/1/2020
US-Me2,65.2,40,53,,42.4,58.5,51.8,3/1/2020
US-Me2,116.2,88.6,76.2,,77.6,84.2,81.7,4/1/2020
US-Me2,136.9,114.9,86,,81.2,116,107,5/1/2020
US-Me2,147.6,124.6,107.3,,92.3,112.3,116.8,6/1/2020
US-Me5,9.4,18,17.9,,7.2,19.5,16.2,2/1/2001
US-Me5,36.9,51.7,34.5,,29.4,32.6,33.4,3/1/2001
US-Me5,70,63.7,17.2,,54,31.2,47.2,4/1/2001
US-Me5,121.2,111.6,53.1,,63.4,66.8,73.7,5/1/2001
US-Me5,83.9,69.1,52.1,,19.5,56.8,65.5,6/1/2001
US-Me5,120.6,100.6,53.3,,26.5,45.6,69.3,7/1/2001
US-Me5,73.4,78.9,57.4,,38.4,54.4,60.5,8/1/2001
US-Me5,78,89.1,42.9,,31.3,21.6,52.6,9/1/2001
US-Me5,28.1,37.5,18,,12.7,14.4,18.3,10/1/2001
US-Me5,2.9,1,2,,2.8,3.5,2.4,1/1/2002
US-Me5,4.7,2.4,3.1,,16.7,0.1,2.6,2/1/2002
US-Me5,41.5,47.9,3.8,,19.7,10.9,24.8,3/1/2002
US-Me5,81.4,85.5,12.5,,30.7,29.8,38.6,4/1/2002
US-Me5,124.6,102.7,32,,50.4,43.1,57.1,5/1/2002
US-Me5,99.8,96.3,45.4,,41.1,49.1,58,6/1/2002
US-Me5,111.1,106.9,70.8,,46.2,78.1,82.6,7/1/2002
US-Me5,105.8,91.9,58.1,,26.8,55.3,67.6,8/1/2002
US-Me5,54.5,63.3,37.7,,13.6,36.1,41,9/1/2002
US-Me5,30.5,41.9,19.8,,9.2,22.7,24.8,10/1/2002
US-Me5,4.9,28.7,18.7,,1.8,12.6,13.3,11/1/2002
US-Me5,3.3,10.9,10.2,,1.9,9.5,8.5,12/1/2002
US-Me6,112.6,103.1,73.1,,26.8,68.1,76.8,6/1/2011
US-Me6,43.9,85.9,39.9,,41.1,51.7,44.1,8/1/2011
US-Me6,14.4,56.4,36.1,,38.7,29.3,40.1,9/1/2011
US-Me6,48.2,92.5,57.9,,66.4,57.4,57.5,7/1/2012
US-Me6,29.5,31.9,23.7,,30.6,26.9,28.5,9/1/2012
US-Me6,71.7,110.8,32.4,,50.6,50.1,51.2,5/1/2013
US-Me6,46.4,80,50.4,,26.8,46.5,42.5,6/1/2013
US-Me6,58.4,78.9,74.5,,38.1,52.5,60.5,7/1/2013
US-Me6,76,80.3,62.5,,50.7,44.7,62.8,8/1/2013
US-Me6,97.3,101.4,52,,42.9,60.7,70.9,6/1/2014
US-Me6,91.8,98.6,83.4,,70.2,93.3,91.8,7/1/2014
US-Me6,98.2,88.7,57.3,,46.1,60.3,70.1,8/1/2014
US-Me6,36.2,77.8,42.4,,31.9,37.6,37,9/1/2014
US-Me6,53.7,88.3,46.5,,70.3,48.5,54.8,4/1/2015
US-Me6,0,28.1,19.2,,1.1,0.1,5.1,2/1/2016
US-Me6,82.5,83.1,27.2,,48.4,35.6,55.4,4/1/2016
US-Me6,45.1,85.3,35.4,,24.6,45.2,37.6,6/1/2016
US-Me6,54.1,91.2,44,,39.1,34.9,43,7/1/2016
US-Me6,51.8,59.3,49.6,,38.6,30.7,46,8/1/2016
US-Me6,73.9,93.2,35,,23,32.2,41,5/1/2017
